Key;EN;RU;DE;FR
item_name_seed_packet;seed packet;Семена картофеля;;
item_desc_seed_packet;;;;
item_name_seed_packet;seed packet;Семена капусты;;
item_desc_seed_packet;;;;
item_name_seed_packet;seed packet;Семена томатов;;
item_desc_seed_packet;;;;
item_name_seed_packet;seed packet;Семена клубники;;
item_desc_seed_packet;;;;
item_name_seed_packet;seed packet;Семена тыквы;;
item_desc_seed_packet;;;;
item_name_seed_packet;seed packet;Семена кукурузы;;
item_desc_seed_packet;;;;
item_name_fertilizer_bag;fertilizer bag;Удобрение (мешок);;
item_desc_fertilizer_bag;;;;
item_name_compost_bag;compost bag;Компост (мешок);;
item_desc_compost_bag;;;;
item_name_pesticide_spray_bottle;pesticide spray bottle;Средство от вредителей;;
item_desc_pesticide_spray_bottle;;;;
item_name_fishing_line;fishing line;Леска;;
item_desc_fishing_line;;;;
item_name_fishing_hooks;fishing hooks;Крючки;;
item_desc_fishing_hooks;;;;
item_name_fishing_lure;fishing lure;Приманка;;
item_desc_fishing_lure;;;;
item_name_fishing_net;fishing net;Рыболовная сеть;;
item_desc_fishing_net;;;;
item_name_bear_trap;bear trap;Капкан;;
item_desc_bear_trap;;;;
item_name_cage_trap;cage trap;Ловушка-клетка;;
item_desc_cage_trap;;;;
item_name_box_trap_wooden;box trap wooden;Ловушка-коробка;;
item_desc_box_trap_wooden;;;;
item_name_snare_trap;snare trap;Силки;;
item_desc_snare_trap;;;;
item_name_mouse_trap;mouse trap;Мышеловка;;
item_desc_mouse_trap;;;;
item_name_dead_rabbit;dead rabbit;Мёртвый кролик;;
item_desc_dead_rabbit;;;;
item_name_dead_bird;dead bird;Мёртвая птица;;
item_desc_dead_bird;;;;
item_name_dead_rat;dead rat;Мёртвая крыса;;
item_desc_dead_rat;;;;
item_name_rolled_tent;rolled tent;Палатка (свёрнутая);;
item_desc_rolled_tent;;;;
item_name_sleeping_bag;sleeping bag;Спальный мешок;;
item_desc_sleeping_bag;;;;
item_name_camping_stove;camping stove;Походная горелка;;
item_desc_camping_stove;;;;
item_name_camping_pot;camping pot;Котелок;;
item_desc_camping_pot;;;;
item_name_kindling;kindling;Растопка;;
item_desc_kindling;;;;
item_name_charcoal_bag;charcoal bag;Уголь (мешок);;
item_desc_charcoal_bag;;;;
item_name_firewood;firewood;Дрова;;
item_desc_firewood;;;;
item_name_house_key;house key;Ключ от дома;;
item_desc_house_key;;;;
item_name_car_key;car key;Ключ от машины;;
item_desc_car_key;;;;
item_name_key_ring;key ring;Связка ключей;;
item_desc_key_ring;;;;
item_name_wallet;wallet;Кошелёк;;
item_desc_wallet;;;;
item_name_dollar_bills;dollar bills;Деньги;;
item_desc_dollar_bills;;;;
item_name_credit_card;credit card;Кредитка;;
item_desc_credit_card;;;;
item_name_photograph;photograph;Фото;;
item_desc_photograph;;;;
item_name_playing_cards;playing cards;Игральные карты;;
item_desc_playing_cards;;;;
item_name_dice;dice;Кубики;;
item_desc_dice;;;;
item_name_basketball;basketball;Мяч;;
item_desc_basketball;;;;
item_name_teddy_bear;teddy bear;Плюшевая игрушка;;
item_desc_teddy_bear;;;;
item_name_doll;doll;Кукла;;
item_desc_doll;;;;
item_name_harmonica;harmonica;Губная гармошка;;
item_desc_harmonica;;;;
item_name_acoustic_guitar;acoustic guitar;Гитара;;
item_desc_acoustic_guitar;;;;
item_name_umbrella;umbrella;Зонт;;
item_desc_umbrella;;;;
item_name_toilet_paper_roll;toilet paper roll;Туалетная бумага;;
item_desc_toilet_paper_roll;;;;
item_name_soap_bar;soap bar;Мыло;;
item_desc_soap_bar;;;;
item_name_shampoo_bottle;shampoo bottle;Шампунь;;
item_desc_shampoo_bottle;;;;
item_name_toothbrush;toothbrush;Зубная щётка;;
item_desc_toothbrush;;;;
item_name_towel;towel;Полотенце;;
item_desc_towel;;;;
item_name_bleach_bottle;bleach bottle;Отбеливатель;;
item_desc_bleach_bottle;;;;
item_name_detergent_bottle;detergent bottle;Моющее средство;;
item_desc_detergent_bottle;;;;
item_name_sponge;sponge;Губка;;
item_desc_sponge;;;;
item_name_comb;comb;Расчёска;;
item_desc_comb;;;;
item_name_lipstick;lipstick;Помада;;
item_desc_lipstick;;;;
item_name_eyeglasses;eyeglasses;Очки;;
item_desc_eyeglasses;;;;
item_name_garbage_bag;garbage bag;Мусорный мешок;;
item_desc_garbage_bag;;;;
item_name_body_bag;body bag;Мешок для трупов;;
item_desc_body_bag;;;;
item_name_plastic_bag;plastic bag;Пакет;;
item_desc_plastic_bag;;;;
item_name_paper_bag;paper bag;Бумажный пакет;;
item_desc_paper_bag;;;;
item_name_cardboard_box;cardboard box;Картонная коробка;;
item_desc_cardboard_box;;;;
item_name_id_badge;id badge;Бейдж / удостоверение;;
item_desc_id_badge;;;;
item_name_ring_jewelry;ring jewelry;Кольцо;;
item_desc_ring_jewelry;;;;
item_name_necklace;necklace;Цепочка;;
item_desc_necklace;;;;
item_name_earrings;earrings;Серьги;;
item_desc_earrings;;;;
item_name_pager_90s;pager 90s;Сотовый пейджер;;
item_desc_pager_90s;;;;
item_name_baseball_cap;baseball cap;Бейсболка;;
item_desc_baseball_cap;;;;
item_name_beanie;beanie;Вязаная шапка;;
item_desc_beanie;;;;
item_name_cowboy_hat;cowboy hat;Ковбойская шляпа;;
item_desc_cowboy_hat;;;;
item_name_bucket_hat;bucket hat;Панама;;
item_desc_bucket_hat;;;;
item_name_motorcycle_helmet;motorcycle helmet;Мотоциклетный шлем;;
item_desc_motorcycle_helmet;;;;
item_name_hard_hat;hard hat;Строительная каска;;
item_desc_hard_hat;;;;
item_name_firefighter_helmet;firefighter helmet;Пожарный шлем;;
item_desc_firefighter_helmet;;;;
item_name_military_helmet;military helmet;Военный шлем;;
item_desc_military_helmet;;;;
item_name_police_cap;police cap;Полицейская фуражка;;
item_desc_police_cap;;;;
item_name_hockey_mask;hockey mask;Хоккейная маска;;
item_desc_hockey_mask;;;;
item_name_bandana;bandana;Бандана;;
item_desc_bandana;;;;
item_name_gas_mask;gas mask;Противогаз;;
item_desc_gas_mask;;;;
item_name_surgical_mask;surgical mask;Медицинская маска;;
item_desc_surgical_mask;;;;
item_name_sunglasses;sunglasses;Солнцезащитные очки;;
item_desc_sunglasses;;;;
item_name_ski_goggles;ski goggles;Лыжные очки;;
item_desc_ski_goggles;;;;
item_name_balaclava;balaclava;Балаклава;;
item_desc_balaclava;;;;
item_name_winter_trapper_hat;winter trapper hat;Шапка-ушанка;;
item_desc_winter_trapper_hat;;;;
item_name_bike_helmet;bike helmet;Велосипедный шлем;;
item_desc_bike_helmet;;;;
item_name_american_football_helmet;american football helmet;Футбольный шлем;;
item_desc_american_football_helmet;;;;
item_name_t_shirt;t-shirt;Футболка;;
item_desc_t_shirt;;;;
item_name_tank_top;tank top;Майка;;
item_desc_tank_top;;;;
item_name_short_sleeve_shirt;short sleeve shirt;Рубашка с коротким рукавом;;
item_desc_short_sleeve_shirt;;;;
item_name_dress_shirt_long_sleeve;dress shirt long sleeve;Рубашка;;
item_desc_dress_shirt_long_sleeve;;;;
item_name_flannel_shirt;flannel shirt;Фланелевая рубашка;;
item_desc_flannel_shirt;;;;
item_name_polo_shirt;polo shirt;Поло;;
item_desc_polo_shirt;;;;
item_name_thermal_undershirt;thermal undershirt;Термобельё (верх);;
item_desc_thermal_undershirt;;;;
item_name_hospital_gown;hospital gown;Больничная рубашка;;
item_desc_hospital_gown;;;;
item_name_scrubs_top;scrubs top;Форма медсестры (верх);;
item_desc_scrubs_top;;;;
item_name_police_uniform_shirt;police uniform shirt;Полицейская рубашка;;
item_desc_police_uniform_shirt;;;;
item_name_sweater;sweater;Свитер;;
item_desc_sweater;;;;
item_name_hoodie;hoodie;Худи;;
item_desc_hoodie;;;;
item_name_cardigan;cardigan;Кардиган;;
item_desc_cardigan;;;;
item_name_vest;vest;Жилет;;
item_desc_vest;;;;
item_name_sweatshirt;sweatshirt;Свитшот;;
item_desc_sweatshirt;;;;
item_name_denim_jacket;denim jacket;Джинсовая куртка;;
item_desc_denim_jacket;;;;
item_name_leather_jacket;leather jacket;Кожаная куртка;;
item_desc_leather_jacket;;;;
item_name_bomber_jacket;bomber jacket;Бомбер;;
item_desc_bomber_jacket;;;;
item_name_windbreaker;windbreaker;Ветровка;;
item_desc_windbreaker;;;;
item_name_puffer_jacket;puffer jacket;Пуховик;;
item_desc_puffer_jacket;;;;
item_name_winter_coat;winter coat;Зимнее пальто;;
item_desc_winter_coat;;;;
item_name_raincoat;raincoat;Плащ-дождевик;;
item_desc_raincoat;;;;
item_name_suit_jacket;suit jacket;Пиджак;;
item_desc_suit_jacket;;;;
item_name_lab_coat;lab coat;Лабораторный халат;;
item_desc_lab_coat;;;;
item_name_firefighter_jacket;firefighter jacket;Пожарная куртка;;
item_desc_firefighter_jacket;;;;
item_name_military_field_jacket;military field jacket;Военная куртка;;
item_desc_military_field_jacket;;;;
item_name_police_bulletproof_vest;police bulletproof vest;Бронежилет полицейский;;
item_desc_police_bulletproof_vest;;;;
item_name_military_plate_carrier;military plate carrier;Военный бронежилет;;
item_desc_military_plate_carrier;;;;
item_name_hi_vis_safety_vest;hi-vis safety vest;Светоотражающий жилет;;
item_desc_hi_vis_safety_vest;;;;
item_name_hunting_jacket_camo;hunting jacket camo;Охотничья куртка;;
item_desc_hunting_jacket_camo;;;;
item_name_apron;apron;Фартук;;
item_desc_apron;;;;
item_name_motorcycle_leather_jacket;motorcycle leather jacket;Мотокуртка;;
item_desc_motorcycle_leather_jacket;;;;
item_name_jeans;jeans;Джинсы;;
item_desc_jeans;;;;
item_name_suit_trousers;suit trousers;Брюки классические;;
item_desc_suit_trousers;;;;
item_name_cargo_pants;cargo pants;Карго;;
item_desc_cargo_pants;;;;
item_name_sweatpants;sweatpants;Спортивные штаны;;
item_desc_sweatpants;;;;
item_name_shorts;shorts;Шорты;;
item_desc_shorts;;;;
item_name_skirt;skirt;Юбка;;
item_desc_skirt;;;;
item_name_military_pants_camo;military pants camo;Военные штаны;;
item_desc_military_pants_camo;;;;
item_name_firefighter_pants;firefighter pants;Пожарные штаны;;
item_desc_firefighter_pants;;;;
item_name_police_trousers;police trousers;Полицейские брюки;;
item_desc_police_trousers;;;;
item_name_work_overalls;work overalls;Рабочий комбинезон;;
item_desc_work_overalls;;;;
item_name_thermal_leggings;thermal leggings;Термобельё (низ);;
item_desc_thermal_leggings;;;;
item_name_scrubs_pants;scrubs pants;Форма медсестры (низ);;
item_desc_scrubs_pants;;;;
item_name_leather_pants;leather pants;Кожаные штаны;;
item_desc_leather_pants;;;;
item_name_ski_pants;ski pants;Лыжные штаны;;
item_desc_ski_pants;;;;
item_name_boxer_shorts;boxer shorts;Трусы;;
item_desc_boxer_shorts;;;;
item_name_women_underwear;women underwear;Бельё женское;;
item_desc_women_underwear;;;;
item_name_socks;socks;Носки;;
item_desc_socks;;;;
item_name_wool_socks;wool socks;Носки тёплые;;
item_desc_wool_socks;;;;
item_name_sneakers;sneakers;Кроссовки;;
item_desc_sneakers;;;;
item_name_canvas_shoes;canvas shoes;Кеды;;
item_desc_canvas_shoes;;;;
item_name_dress_shoes;dress shoes;Туфли;;
item_desc_dress_shoes;;;;
item_name_work_boots;work boots;Ботинки рабочие;;
item_desc_work_boots;;;;
item_name_military_combat_boots;military combat boots;Военные берцы;;
item_desc_military_combat_boots;;;;
item_name_rubber_boots;rubber boots;Резиновые сапоги;;
item_desc_rubber_boots;;;;
item_name_cowboy_boots;cowboy boots;Ковбойские сапоги;;
item_desc_cowboy_boots;;;;
item_name_slippers;slippers;Тапочки;;
item_desc_slippers;;;;
item_name_flip_flops;flip flops;Шлёпанцы;;
item_desc_flip_flops;;;;
item_name_high_heels;high heels;Туфли на каблуке;;
item_desc_high_heels;;;;
item_name_winter_snow_boots;winter snow boots;Зимние ботинки;;
item_desc_winter_snow_boots;;;;
item_name_firefighter_boots;firefighter boots;Пожарные сапоги;;
item_desc_firefighter_boots;;;;
item_name_work_gloves;work gloves;Перчатки рабочие;;
item_desc_work_gloves;;;;
item_name_leather_gloves;leather gloves;Кожаные перчатки;;
item_desc_leather_gloves;;;;
item_name_fingerless_gloves;fingerless gloves;Перчатки без пальцев;;
item_desc_fingerless_gloves;;;;
item_name_winter_mittens;winter mittens;Зимние варежки;;
item_desc_winter_mittens;;;;
item_name_scarf;scarf;Шарф;;
item_desc_scarf;;;;
item_name_necktie;necktie;Галстук;;
item_desc_necktie;;;;
item_name_leather_belt;leather belt;Ремень;;
item_desc_leather_belt;;;;
item_name_tactical_belt;tactical belt;Тактический пояс;;
item_desc_tactical_belt;;;;
item_name_knee_pads;knee pads;Налокотники/наколенники;;
item_desc_knee_pads;;;;
item_name_makeshift_arm_guards;makeshift arm guards;Наручи (самодельные);;
item_desc_makeshift_arm_guards;;;;
item_name_school_backpack;school backpack;Школьный рюкзак;;
item_desc_school_backpack;;;;
item_name_hiking_backpack;hiking backpack;Походный рюкзак;;
item_desc_hiking_backpack;;;;
item_name_large_hiking_backpack;large hiking backpack;Большой туристический рюкзак;;
item_desc_large_hiking_backpack;;;;
item_name_military_rucksack;military rucksack;Военный рюкзак;;
item_desc_military_rucksack;;;;
item_name_duffel_bag;duffel bag;Спортивная сумка;;
item_desc_duffel_bag;;;;
item_name_messenger_bag;messenger bag;Сумка через плечо;;
item_desc_messenger_bag;;;;
item_name_fanny_pack;fanny pack;Поясная сумка;;
item_desc_fanny_pack;;;;
item_name_handbag_purse;handbag purse;Дамская сумочка;;
item_desc_handbag_purse;;;;
item_name_tool_bag;tool bag;Сумка для инструментов;;
item_desc_tool_bag;;;;
item_name_suitcase;suitcase;Чемодан;;
item_desc_suitcase;;;;
item_name_cooler_bag;cooler bag;Сумка-холодильник;;
item_desc_cooler_bag;;;;
item_name_makeshift_sack_backpack;makeshift sack backpack;Самодельный рюкзак;;
item_desc_makeshift_sack_backpack;;;;
item_name_tactical_chest_rig;tactical chest rig;Разгрузочный жилет;;
item_desc_tactical_chest_rig;;;;
item_name_car_wheel_tire;car wheel tire;Колесо;;
item_desc_car_wheel_tire;;;;
item_name_car_engine;car engine;Двигатель (блок);;
item_desc_car_engine;;;;
item_name_brake_pads;brake pads;Тормозные колодки;;
item_desc_brake_pads;;;;
item_name_shock_absorber;shock absorber;Амортизатор;;
item_desc_shock_absorber;;;;
item_name_car_muffler;car muffler;Глушитель;;
item_desc_car_muffler;;;;
item_name_car_windshield;car windshield;Лобовое стекло;;
item_desc_car_windshield;;;;
item_name_car_door;car door;Автомобильная дверь;;
item_desc_car_door;;;;
item_name_car_hood;car hood;Капот;;
item_desc_car_hood;;;;
item_name_car_seat;car seat;Автомобильное сиденье;;
item_desc_car_seat;;;;
item_name_car_gas_tank;car gas tank;Бензобак;;
item_desc_car_gas_tank;;;;
item_name_male_base_mesh;male base mesh;Тело мужское (модульное);;
item_desc_male_base_mesh;;;;
item_name_female_base_mesh;female base mesh;Тело женское (модульное);;
item_desc_female_base_mesh;;;;
item_name_male_zombie;male zombie;Зомби мужчина;;
item_desc_male_zombie;;;;
item_name_female_zombie;female zombie;Зомби женщина;;
item_desc_female_zombie;;;;
item_name_hairstyle_hair_mesh;hairstyle hair mesh;Причёски (5-10);;
item_desc_hairstyle_hair_mesh;;;;
item_name_beard_mesh;beard mesh;Бороды (3-5);;
item_desc_beard_mesh;;;;
item_name_severed_limb_stump;severed limb stump;Культи конечностей;;
item_desc_severed_limb_stump;;;;
item_name_severed_arm_leg_gore;severed arm leg gore;Оторванные конечности;;
item_desc_severed_arm_leg_gore;;;;
item_name_body_bag_with_corpse;body bag with corpse;Мешок с трупом;;
item_desc_body_bag_with_corpse;;;;
