id;Категория;Подкатегория;Название;Name (EN);Что искать (запрос);Тип модели;Риг/особенности;Трис;Иконка;Вес, кг;Милестоун;Статус;Заметка
180;Еда;Сухие продукты;Мёд;honey jar;low poly honey jar 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
181;Еда;Сухие продукты;Кофе (банка);coffee can;low poly coffee can 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M4;Нет;
182;Еда;Сухие продукты;Чай (пачка);tea box;low poly tea box 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;
183;Еда;Сухие продукты;Специи;spice jar;low poly spice jar 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;
184;Еда;Сухие продукты;Растительное масло;cooking oil bottle;low poly cooking oil bottle 3d model;На земле / в инвентаре;статичная;200-800;да;0.8;M4;Нет;
185;Еда;Сухие продукты;Кетчуп;ketchup bottle;low poly ketchup bottle 3d model;На земле / в инвентаре;статичная;200-800;да;0.4;M4;Нет;
186;Еда;Сухие продукты;Уксус;vinegar bottle;low poly vinegar bottle 3d model;На земле / в инвентаре;статичная;200-800;да;0.8;M4;Нет;консервирование
187;Еда;Свежие продукты;Яблоко;apple;low poly apple 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M4;Нет;
188;Еда;Свежие продукты;Банан;banana;low poly banana 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M4;Нет;
189;Еда;Свежие продукты;Апельсин;orange;low poly orange 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M4;Нет;
190;Еда;Свежие продукты;Картофель;potato;low poly potato 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M4;Нет;
191;Еда;Свежие продукты;Морковь;carrot;low poly carrot 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;
192;Еда;Свежие продукты;Капуста;cabbage;low poly cabbage 3d model;На земле / в инвентаре;статичная;200-800;да;1.0;M4;Нет;
193;Еда;Свежие продукты;Помидор;tomato;low poly tomato 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M4;Нет;
194;Еда;Свежие продукты;Лук;onion;low poly onion 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;
195;Еда;Свежие продукты;Перец;bell pepper;low poly bell pepper 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M4;Нет;
196;Еда;Свежие продукты;Салат;lettuce;low poly lettuce 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M4;Нет;
197;Еда;Свежие продукты;Кукуруза (початок);corn cob;low poly corn cob 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M4;Нет;
198;Еда;Свежие продукты;Тыква;pumpkin;low poly pumpkin 3d model;На земле / в инвентаре;статичная;200-800;да;3.0;M4;Нет;
199;Еда;Свежие продукты;Клубника;strawberries;low poly strawberries 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M4;Нет;
200;Еда;Свежие продукты;Хлеб;loaf of bread;low poly loaf of bread 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
201;Еда;Свежие продукты;Яйца (упаковка);egg carton;low poly egg carton 3d model;На земле / в инвентаре;статичная;200-800;да;0.6;M4;Нет;
202;Еда;Свежие продукты;Яйцо;egg;low poly egg 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M4;Нет;
203;Еда;Свежие продукты;Молоко;milk carton;low poly milk carton 3d model;На земле / в инвентаре;статичная;200-800;да;1.0;M4;Нет;
204;Еда;Свежие продукты;Сыр;cheese block;low poly cheese block 3d model;На земле / в инвентаре;статичная;200-800;да;0.4;M4;Нет;
205;Еда;Свежие продукты;Масло сливочное;butter;low poly butter 3d model;На земле / в инвентаре;статичная;200-800;да;0.25;M4;Нет;
206;Еда;Свежие продукты;Стейк;raw steak;low poly raw steak 3d model;На земле / в инвентаре;статичная;200-800;да;0.4;M4;Нет;
207;Еда;Свежие продукты;Курица;raw chicken;low poly raw chicken 3d model;На земле / в инвентаре;статичная;200-800;да;1.0;M4;Нет;
208;Еда;Свежие продукты;Фарш;ground beef;low poly ground beef 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
209;Еда;Свежие продукты;Бекон;bacon;low poly bacon 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M4;Нет;
210;Еда;Свежие продукты;Сосиски;hot dogs pack;low poly hot dogs pack 3d model;На земле / в инвентаре;статичная;200-800;да;0.4;M4;Нет;
211;Еда;Свежие продукты;Рыба (сырая);raw fish;low poly raw fish 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
212;Еда;Свежие продукты;Мясо кролика;raw rabbit meat;low poly raw rabbit meat 3d model;На земле / в инвентаре;статичная;200-800;да;0.4;M4;Нет;
213;Еда;Свежие продукты;Мясо птицы (дичь);raw bird meat;low poly raw bird meat 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M4;Нет;
214;Еда;Свежие продукты;Пицца;pizza;low poly pizza 3d model;На земле / в инвентаре;статичная;200-800;да;0.8;M4;Нет;
215;Еда;Свежие продукты;Бургер;hamburger;low poly hamburger 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M4;Нет;
216;Еда;Свежие продукты;Пончик;donut;low poly donut 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;
217;Еда;Свежие продукты;Замороженный ужин;frozen dinner tray;low poly frozen dinner tray 3d model;На земле / в инвентаре;статичная;200-800;да;0.4;M4;Нет;
218;Еда;Свежие продукты;Мороженое;ice cream tub;low poly ice cream tub 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
219;Еда;Лесное;Ягоды (съедобные);wild berries;low poly wild berries 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M7;Нет;
220;Еда;Лесное;Ягоды (ядовитые);poison berries;low poly poison berries 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M7;Нет;вариант текстуры
221;Еда;Лесное;Грибы (съедобные);edible mushroom;low poly edible mushroom 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M7;Нет;
222;Еда;Лесное;Грибы (ядовитые);poison mushroom;low poly poison mushroom 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M7;Нет;
223;Еда;Лесное;Червь;worm bait;low poly worm bait 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M7;Нет;
224;Еда;Лесное;Кузнечик;grasshopper;low poly grasshopper 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M7;Нет;
225;Еда;Лесное;Дикий лук;wild onion;low poly wild onion 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M7;Нет;
226;Еда;Лесное;Жёлуди;acorns;low poly acorns 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M7;Нет;
227;Еда;Напитки;Бутылка воды;water bottle;low poly water bottle 3d model;На земле / в инвентаре;статичная;200-800;да;0.6;M3;Нет;Drainable
228;Еда;Напитки;Газировка (банка);soda can;low poly soda can 3d model;На земле / в инвентаре;статичная;200-800;да;0.35;M3;Нет;
229;Еда;Напитки;Газировка (бутылка 2 л);2 liter soda bottle;low poly 2 liter soda bottle 3d model;На земле / в инвентаре;статичная;200-800;да;2.0;M3;Нет;
230;Еда;Напитки;Сок (пакет);juice box;low poly juice box 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M3;Нет;
231;Еда;Напитки;Пиво (банка);beer can;low poly beer can 3d model;На земле / в инвентаре;статичная;200-800;да;0.35;M3;Нет;
232;Еда;Напитки;Пиво (бутылка);beer bottle;low poly beer bottle 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M3;Нет;
233;Еда;Напитки;Вино;wine bottle;low poly wine bottle 3d model;На земле / в инвентаре;статичная;200-800;да;1.2;M3;Нет;
234;Еда;Напитки;Виски;whiskey bottle;low poly whiskey bottle 3d model;На земле / в инвентаре;статичная;200-800;да;1.0;M3;Нет;
235;Еда;Напитки;Водка;vodka bottle;low poly vodka bottle 3d model;На земле / в инвентаре;статичная;200-800;да;1.0;M3;Нет;
236;Еда;Напитки;Энергетик;energy drink can;low poly energy drink can 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M3;Нет;
237;Еда;Напитки;Пустая бутылка;empty plastic bottle;low poly empty plastic bottle 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M3;Нет;
238;Еда;Напитки;Пустая стеклянная бутылка;empty glass bottle;low poly empty glass bottle 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M3;Нет;
239;Еда;Напитки;Фляга;canteen;low poly canteen 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M3;Нет;Drainable
240;Еда;Напитки;Кружка;mug;low poly mug 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M3;Нет;
241;Еда;Напитки;Термос;thermos;low poly thermos 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M3;Нет;
242;Еда;Приготовленное;Кастрюля с супом;pot of soup;low poly pot of soup 3d model;На земле / в инвентаре;статичная;200-800;да;3.0;M4;Нет;состояние кастрюли
243;Еда;Приготовленное;Кастрюля с рагу;pot of stew;low poly pot of stew 3d model;На земле / в инвентаре;статичная;200-800;да;3.0;M4;Нет;
244;Еда;Приготовленное;Жареное мясо;cooked meat;low poly cooked meat 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M4;Нет;
245;Еда;Приготовленное;Жареная рыба;cooked fish;low poly cooked fish 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M4;Нет;
246;Еда;Приготовленное;Сэндвич;sandwich;low poly sandwich 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M4;Нет;
247;Еда;Приготовленное;Салат (миска);salad bowl;low poly salad bowl 3d model;На земле / в инвентаре;статичная;200-800;да;0.4;M4;Нет;
248;Еда;Приготовленное;Банка с соленьями;jar of pickles;low poly jar of pickles 3d model;На земле / в инвентаре;статичная;200-800;да;0.8;M4;Нет;консервирование
249;Еда;Приготовленное;Пустая стеклянная банка;empty mason jar;low poly empty mason jar 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M4;Нет;
250;Еда;Приготовленное;Крышка для банки;jar lid;low poly jar lid 3d model;На земле / в инвентаре;статичная;200-800;да;0.02;M4;Нет;
251;Еда;Приготовленное;Сгоревшая еда;burnt food;low poly burnt food 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M4;Нет;вариант текстуры
252;Кухня;Посуда;Кастрюля;cooking pot;low poly cooking pot 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.5;M4;Нет;
253;Кухня;Посуда;Сотейник;saucepan;low poly saucepan 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.0;M4;Нет;
254;Кухня;Посуда;Чайник;kettle;low poly kettle 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.0;M4;Нет;
255;Кухня;Посуда;Противень;baking tray;low poly baking tray 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.8;M4;Нет;
256;Кухня;Посуда;Миска;bowl;low poly bowl 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.3;M4;Нет;
257;Кухня;Посуда;Тарелка;plate;low poly plate 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.3;M4;Нет;
258;Кухня;Посуда;Вилка;fork;low poly fork 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.05;M4;Нет;
259;Кухня;Посуда;Ложка;spoon;low poly spoon 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.05;M4;Нет;
260;Кухня;Посуда;Половник;ladle;low poly ladle 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.2;M4;Нет;
261;Кухня;Посуда;Разделочная доска;cutting board;low poly cutting board 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.5;M4;Нет;
262;Кухня;Посуда;Термометр кухонный;kitchen thermometer;low poly kitchen thermometer 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.05;M4;Нет;
263;Кухня;Посуда;Прихватка;oven mitt;low poly oven mitt 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.1;M4;Нет;
264;Медицина;Перевязка и обработка;Бинт;bandage roll;low poly bandage roll 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;
265;Медицина;Перевязка и обработка;Стерильный бинт;sterile bandage;low poly sterile bandage 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;вариант текстуры
266;Медицина;Перевязка и обработка;Пластырь;adhesive bandage;low poly adhesive bandage 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M4;Нет;
267;Медицина;Перевязка и обработка;Спирт (бутылка);rubbing alcohol bottle;low poly rubbing alcohol bottle 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
268;Медицина;Перевязка и обработка;Дезинфектор;antiseptic bottle;low poly antiseptic bottle 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M4;Нет;
269;Медицина;Перевязка и обработка;Спиртовые салфетки;alcohol wipes;low poly alcohol wipes 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M4;Нет;
270;Медицина;Перевязка и обработка;Вата;cotton balls;low poly cotton balls 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M4;Нет;
271;Медицина;Перевязка и обработка;Нитки хирургические;suture thread;low poly suture thread 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M4;Нет;
272;Медицина;Перевязка и обработка;Шина;medical splint;low poly medical splint 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M4;Нет;
273;Медицина;Перевязка и обработка;Жгут;tourniquet;low poly tourniquet 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;
274;Медицина;Перевязка и обработка;Перчатки медицинские;latex gloves;low poly latex gloves 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M4;Нет;
275;Медицина;Перевязка и обработка;Аптечка;first aid kit;low poly first aid kit 3d model;На земле / в инвентаре;статичная;200-800;да;1.0;M4;Нет;контейнер
276;Медицина;Перевязка и обработка;Аптечка большая;large medical bag;low poly large medical bag 3d model;На земле / в инвентаре;статичная;200-800;да;2.0;M4;Нет;контейнер
277;Медицина;Перевязка и обработка;Мазь;ointment tube;low poly ointment tube 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M4;Нет;
278;Медицина;Перевязка и обработка;Холодный компресс;ice pack;low poly ice pack 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M4;Нет;
279;Медицина;Таблетки;Обезболивающее;painkiller pill bottle;low poly painkiller pill bottle 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;
280;Медицина;Таблетки;Антибиотики;antibiotics pill bottle;low poly antibiotics pill bottle 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;вариант текстуры
281;Медицина;Таблетки;Бета-блокаторы;beta blockers pill bottle;low poly beta blockers pill bottle 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;вариант текстуры
282;Медицина;Таблетки;Антидепрессанты;antidepressants pill bottle;low poly antidepressants pill bottle 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;вариант текстуры
283;Медицина;Таблетки;Снотворное;sleeping pills bottle;low poly sleeping pills bottle 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;вариант текстуры
284;Медицина;Таблетки;Витамины;vitamins bottle;low poly vitamins bottle 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;вариант текстуры
285;Медицина;Таблетки;Сигареты (пачка);cigarette pack;low poly cigarette pack 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M4;Нет;
286;Медицина;Таблетки;Сигарета;single cigarette;low poly single cigarette 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M4;Нет;
287;Медицина;Таблетки;Никотиновая жвачка;nicotine gum;low poly nicotine gum 3d model;На земле / в инвентаре;статичная;200-800;да;0.02;M4;Нет;
288;Медицина;Таблетки;Лекарственные травы;medicinal herbs;low poly medicinal herbs 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;
289;Медицина;Таблетки;Травяной отвар;herbal tea mug;low poly herbal tea mug 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M4;Нет;крафт
290;Медицина;Таблетки;Припарка;poultice;low poly poultice 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;крафт
291;Литература;Книги навыков;Книга: Плотничество (5 томов);old book;low poly old book 3d model;Вариант текстуры другой модели;та же модель;-;да;0.5;M3;Нет;1 модель книги + 5 обложек на каждый навык
292;Литература;Книги навыков;Книга: Кулинария (5 томов);old book;low poly old book 3d model;Вариант текстуры другой модели;та же модель;-;да;0.5;M3;Нет;
293;Литература;Книги навыков;Книга: Фермерство (5 томов);old book;low poly old book 3d model;Вариант текстуры другой модели;та же модель;-;да;0.5;M3;Нет;
294;Литература;Книги навыков;Книга: Первая помощь (5 томов);old book;low poly old book 3d model;Вариант текстуры другой модели;та же модель;-;да;0.5;M3;Нет;
295;Литература;Книги навыков;Книга: Электрика (5 томов);old book;low poly old book 3d model;Вариант текстуры другой модели;та же модель;-;да;0.5;M3;Нет;
296;Литература;Книги навыков;Книга: Металлообработка (5 томов);old book;low poly old book 3d model;Вариант текстуры другой модели;та же модель;-;да;0.5;M3;Нет;
297;Литература;Книги навыков;Книга: Механика (5 томов);old book;low poly old book 3d model;Вариант текстуры другой модели;та же модель;-;да;0.5;M3;Нет;
298;Литература;Книги навыков;Книга: Шитьё (5 томов);old book;low poly old book 3d model;Вариант текстуры другой модели;та же модель;-;да;0.5;M3;Нет;
299;Литература;Книги навыков;Книга: Рыбалка (5 томов);old book;low poly old book 3d model;Вариант текстуры другой модели;та же модель;-;да;0.5;M3;Нет;
300;Литература;Книги навыков;Книга: Ловушки (5 томов);old book;low poly old book 3d model;Вариант текстуры другой модели;та же модель;-;да;0.5;M3;Нет;
301;Литература;Книги навыков;Книга: Собирательство (5 томов);old book;low poly old book 3d model;Вариант текстуры другой модели;та же модель;-;да;0.5;M3;Нет;
302;Литература;Журналы и прочее;Журнал с рецептами;magazine;low poly magazine 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M3;Нет;одна модель, много обложек
303;Литература;Журналы и прочее;Комикс;comic book;low poly comic book 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M3;Нет;
304;Литература;Журналы и прочее;Газета;newspaper;low poly newspaper 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M3;Нет;
305;Литература;Журналы и прочее;Роман;paperback novel;low poly paperback novel 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M3;Нет;
306;Литература;Журналы и прочее;Карта города (бумажная);folded paper map;low poly folded paper map 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M3;Нет;
307;Литература;Журналы и прочее;Блокнот;notebook;low poly notebook 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M3;Нет;
308;Литература;Журналы и прочее;Карандаш;pencil;low poly pencil 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M3;Нет;
309;Литература;Журналы и прочее;Ручка;pen;low poly pen 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M3;Нет;
310;Литература;Журналы и прочее;Журнал: генератор;magazine;low poly magazine 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M3;Нет;вариант текстуры
311;Литература;Журналы и прочее;Журнал: механика машин;magazine;low poly magazine 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M3;Нет;вариант текстуры
312;Электроника и свет;Переносное;Фонарик;flashlight;low poly flashlight 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.3;M3;Нет;
313;Электроника и свет;Переносное;Налобный фонарь;headlamp;low poly headlamp 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.2;M3;Нет;надевается
314;Электроника и свет;Переносное;Фонарь кемпинговый;camping lantern;low poly camping lantern 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.0;M3;Нет;
315;Электроника и свет;Переносное;Свеча;candle;low poly candle 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.1;M3;Нет;
316;Электроника и свет;Переносное;Факел;torch;low poly torch 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.8;M3;Нет;крафт
317;Электроника и свет;Переносное;Рация;walkie talkie;low poly walkie talkie 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.4;M3;Нет;
318;Электроника и свет;Переносное;Радиоприёмник;portable radio;low poly portable radio 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.0;M3;Нет;
319;Электроника и свет;Переносное;Часы наручные;wrist watch;low poly wrist watch 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.05;M3;Нет;надевается
320;Электроника и свет;Переносное;Цифровые часы;digital watch;low poly digital watch 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.05;M3;Нет;надевается
321;Электроника и свет;Переносное;Будильник;alarm clock;low poly alarm clock 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.3;M3;Нет;
322;Электроника и свет;Переносное;Мобильный телефон;old cell phone 90s;low poly old cell phone 90s 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.2;M3;Нет;хлам
323;Электроника и свет;Переносное;Плеер;cd player;low poly cd player 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.3;M3;Нет;
324;Электроника и свет;Переносное;Сигнальная ракетница;flare gun;low poly flare gun 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.8;M3;Нет;
325;Электроника и свет;Переносное;Фальшфейер;road flare;low poly road flare 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.2;M3;Нет;
326;Электроника и свет;Переносное;Шумовая ловушка;noise maker trap;low poly noise maker trap 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.5;M3;Нет;крафт: будильник + ...
327;Электроника и свет;Переносное;Самодельная бомба;pipe bomb;low poly pipe bomb 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.0;M3;Нет;крафт
328;Электроника и свет;Переносное;Коктейль Молотова;molotov cocktail;low poly molotov cocktail 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.0;M3;Нет;крафт
329;Выживание;Ферма;Семена моркови;seed packet;low poly seed packet 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M7;Нет;1 модель пакетика, разные текстуры
330;Выживание;Ферма;Семена картофеля;seed packet;low poly seed packet 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M7;Нет;
331;Выживание;Ферма;Семена капусты;seed packet;low poly seed packet 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M7;Нет;
332;Выживание;Ферма;Семена томатов;seed packet;low poly seed packet 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M7;Нет;
333;Выживание;Ферма;Семена клубники;seed packet;low poly seed packet 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M7;Нет;
334;Выживание;Ферма;Семена тыквы;seed packet;low poly seed packet 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M7;Нет;
335;Выживание;Ферма;Семена кукурузы;seed packet;low poly seed packet 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M7;Нет;
336;Выживание;Ферма;Удобрение (мешок);fertilizer bag;low poly fertilizer bag 3d model;На земле / в инвентаре;статичная;200-800;да;5.0;M7;Нет;
337;Выживание;Ферма;Компост (мешок);compost bag;low poly compost bag 3d model;На земле / в инвентаре;статичная;200-800;да;5.0;M7;Нет;
338;Выживание;Ферма;Средство от вредителей;pesticide spray bottle;low poly pesticide spray bottle 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M7;Нет;
339;Выживание;Рыбалка и ловушки;Леска;fishing line;low poly fishing line 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M7;Нет;
340;Выживание;Рыбалка и ловушки;Крючки;fishing hooks;low poly fishing hooks 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M7;Нет;
341;Выживание;Рыбалка и ловушки;Приманка;fishing lure;low poly fishing lure 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M7;Нет;
342;Выживание;Рыбалка и ловушки;Рыболовная сеть;fishing net;low poly fishing net 3d model;На земле / в инвентаре;статичная;200-800;да;1.0;M7;Нет;
343;Выживание;Рыбалка и ловушки;Капкан;bear trap;low poly bear trap 3d model;На земле / в инвентаре;статичная;200-800;да;3.0;M7;Нет;
344;Выживание;Рыбалка и ловушки;Ловушка-клетка;cage trap;low poly cage trap 3d model;На земле / в инвентаре;статичная;200-800;да;2.0;M7;Нет;
345;Выживание;Рыбалка и ловушки;Ловушка-коробка;box trap wooden;low poly box trap wooden 3d model;На земле / в инвентаре;статичная;200-800;да;1.5;M7;Нет;крафт
346;Выживание;Рыбалка и ловушки;Силки;snare trap;low poly snare trap 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M7;Нет;крафт
347;Выживание;Рыбалка и ловушки;Мышеловка;mouse trap;low poly mouse trap 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M7;Нет;
348;Выживание;Рыбалка и ловушки;Мёртвый кролик;dead rabbit;low poly dead rabbit 3d model;На земле / в инвентаре;статичная;200-800;да;1.5;M7;Нет;
349;Выживание;Рыбалка и ловушки;Мёртвая птица;dead bird;low poly dead bird 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M7;Нет;
350;Выживание;Рыбалка и ловушки;Мёртвая крыса;dead rat;low poly dead rat 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M7;Нет;
351;Выживание;Лагерь;Палатка (свёрнутая);rolled tent;low poly rolled tent 3d model;На земле / в инвентаре;статичная;200-800;да;3.0;M7;Нет;
352;Выживание;Лагерь;Спальный мешок;sleeping bag;low poly sleeping bag 3d model;На земле / в инвентаре;статичная;200-800;да;1.5;M7;Нет;
353;Выживание;Лагерь;Походная горелка;camping stove;low poly camping stove 3d model;На земле / в инвентаре;статичная;200-800;да;1.0;M7;Нет;
354;Выживание;Лагерь;Котелок;camping pot;low poly camping pot 3d model;На земле / в инвентаре;статичная;200-800;да;0.6;M7;Нет;
355;Выживание;Лагерь;Растопка;kindling;low poly kindling 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M7;Нет;
356;Выживание;Лагерь;Уголь (мешок);charcoal bag;low poly charcoal bag 3d model;На земле / в инвентаре;статичная;200-800;да;3.0;M7;Нет;
357;Выживание;Лагерь;Дрова;firewood;low poly firewood 3d model;На земле / в инвентаре;статичная;200-800;да;2.0;M7;Нет;
358;Разное;Хлам и мелочи;Ключ от дома;house key;low poly house key 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M3;Нет;
359;Разное;Хлам и мелочи;Ключ от машины;car key;low poly car key 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M3;Нет;
360;Разное;Хлам и мелочи;Связка ключей;key ring;low poly key ring 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M3;Нет;
361;Разное;Хлам и мелочи;Кошелёк;wallet;low poly wallet 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M3;Нет;
362;Разное;Хлам и мелочи;Деньги;dollar bills;low poly dollar bills 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M3;Нет;
363;Разное;Хлам и мелочи;Кредитка;credit card;low poly credit card 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M3;Нет;
364;Разное;Хлам и мелочи;Фото;photograph;low poly photograph 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M3;Нет;
365;Разное;Хлам и мелочи;Игральные карты;playing cards;low poly playing cards 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M3;Нет;
366;Разное;Хлам и мелочи;Кубики;dice;low poly dice 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M3;Нет;
